label,message,message_length,word_count,cleaned_message,processed_message
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,20,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,Ok lar... Joking wif u oni...,29,6,ok lar joking wif u oni,ok lar joke wif u oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,28,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over
0,U dun say so early hor... U c already then say...,49,11,u dun say so early hor u c already then say,u dun say earli hor u c alreadi say
0,"Nah I don't think he goes to usf, he lives around here though",61,13,nah i dont think he goes to usf he lives around here though,nah dont think goe usf live around though
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,32,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv,freemsg hey darl week word back id like fun still tb ok xxx std chg send rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.,77,16,even my brother is not like to speak with me they treat me like aids patent,even brother like speak treat like aid patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,26,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,winner valu network custom select receivea prize reward claim call claim code kl valid hour
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,29,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,21,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today
